Numero,ritardo
1,0
2,0
3,0
4,0
5,0
6,0
7,14
8,46
9,0
10,25
11,0
12,3
13,12
14,39
15,4
16,25
17,25
18,18
19,12
20,39
21,11
22,17
23,33
24,10
25,31
26,31
27,12
28,0
29,5
30,18
31,5
32,10
33,3
34,5
35,10
36,94
37,4
38,47
39,0
40,3
41,3
42,5
43,59
44,38
45,11
46,24
47,25
48,10
49,10
50,7
51,5
52,0
53,52
54,14
55,21
56,21
57,24
58,7
59,4
60,18
61,82
62,5
63,0
64,14
65,18
66,24
67,3
68,7
69,40
70,4
71,12
72,5
73,7
74,19
75,21
76,14
77,0
78,39
79,0
80,28
81,66
82,31
83,3
84,19
85,14
86,21
87,11
88,47
89,7
90,4
